,category,title,text
10,s7_priority,Я не получил карту участника. Что делать?,"В соответствии с правилами программы для накопления миль наличие карты не является обязательным. Вы можете повторно заказать карту, обратившись в сервисный центр программы по телефону горячей линии 8 800 100–77–11 либо по адресу priority@s7.ru.
Карта будет изготовлена в течение месяца после создания заявки и отправлена на указанный Вами адрес. Обычно доставка карты занимает не больше месяца со дня отправки.
Если Вы не получили карту после уведомления об отправке, она может быть отправлена Вам повторно. За повторную отправку карты участника взимается сбор в размере 250 рублей."
11,s7_priority,Я потерял карту участника программы. Что делать?,"В соответствии с правилами программы для накопления миль наличие карты не является обязательным. Достаточно указывать номер Вашей карты при регистрации на рейс и покупке услуг партнеров.
В случае утери карты Вы можете обратиться в сервисный центр S7 Priority по телефону 8 800 100–77–11 или на электронный адрес priority@s7.ru с просьбой перевыпустить карту. За изготовление и отправку карты в этом случае взимается сервисный сбор в размере 250 рублей."
12,s7_priority,На карте участника и платежной карте разные номера. Можно ли объединить счета?,"Да, это возможно. При этом вы сами решаете, какой счёт будет активным. Для консультации со специалистом и процедуры объединения счетов Вам нужно обратиться в сервисный центр программы по телефону горячей линии 8 800 100–77–11 либо по адресу priority@s7.ru."
13,s7_priority,Можно ли объединить счета S7 Priority и topbonus Air Berlin?,"У каждой авиакомпании альянса существует своя программа лояльности — вы можете пользоваться их привилегиями только по отдельности. Однако копить мили в программе S7 Priority можно, совершая полеты со всеми авиакомпаниями альянса, а также пользуясь услугами партнёров программы по всему миру. Подробнее — в разделе «Копить мили»."
14,s7_priority,Что такое «мили»?,"Это расчётные единицы программы S7 Priority. Чем больше миль накопится на вашем счету, тем быстрее у вас появится возможность оформить премии программы."
15,s7_priority,Что такое «статусные мили»?,Статусные мили нужны для повышения вашего статуса в программе и для получения премий. Они начисляются за полёты регулярными рейсами S7 и рейсами авиакомпаний глобального альянса oneworld. Списание миль для оформления премиального билета  не влияет на изменение баланса статусных миль вашего счёта.
16,s7_priority,Что такое «бонусные мили»?,"Это мили, которые используются только для получения премий. К бонусным милям относятся приветственные мили, мили за элитный статус, мили по акциям, за использование услуг партнёров, за полёты рейсами авиакомпаний-партнеров, не входящих в альянс oneworld."
17,s7_priority,Что такое «приветственные мили» и когда они начисляются?,"За регистрацию в программе S7 Priority участник получает Приветственные мили. Бонус начисляется на счет только после первого полета на собственном рейсе S7 Airlines в качестве участника по тарифу, участвующему в начислении миль.
Для автоматического начисления миль необходимо сообщить номер счета при регистрации на рейс либо внести его на этапе покупки билета."
18,s7_priority,За что я получаю мили?,"Вы набираете мили, совершая полёты с S7 и авиакомпаниями — участниками альянса oneworld, а также пользуясь услугами десятков других партнёров и платежными картами  ряда банков. Более подробно об этом вы можете узнать в разделе Копить мили."
19,s7_priority,"Где посмотреть информацию о том, сколько у меня миль?",Подробная информация о количестве миль на вашем счету содержится в разделе «Мои мили» в Личном кабинете участника программы на сайте www.s7.ru.
20,s7_priority,За какие полёты начисляются мили?,"За полёты рейсами S7 Airlines, авиакомпаний альянса oneworld и авиакомпаний-партнёров S7 по тарифам, участвующим в начислении миль."
21,s7_priority,Автоматически ли начисляются мили за перелет?,"Чтобы мили зачислялись на ваш счёт автоматически, при оформлении билета предъявите свою карту S7 Priority или сообщите свой персональный номер. Важно, чтобы ваши данные (фамилия, имя и дата рождения) были указаны корректно для исключения ошибки при начислении миль. Если же вы не указывали номер вашего счета либо не предъявляли карту при покупке билета, воспользуйтесь сервисом Восстановить мили в Личном кабинете S7 Priority."
22,s7_priority,Когда будут начислены мили за перелёт?,"Если вы летели рейсом S7, мили автоматически поступят на ваш персональный счёт после полёта. Однако если аэропорты на вашем маршруте не оборудованы автоматизированными системами контроля отправки пассажиров, мили зачислятся в течение 45 дней.
За пользование услугами партнёров мили зачисляются на ваш счёт в период до 45 дней после даты пользования услугой."
23,s7_priority,"Я летаю с ребенком, указывая номер своей карты. Почему мили за его полет мне не начисляются?","Согласно условиям программы, вы можете получить мили только за полёты, которые совершаете сами. Если ребенку уже исполнилось 2 года, Вы можете зарегистрировать его в программе, и мили за совершенные полеты будут накапливаться на собственном счету вашего ребенка."
24,s7_priority,У меня были перелёты до регистрации в программе. Будут ли они учтены?,"Да, вам могут быть начислены мили за полёты рейсами S7, которые вы совершили в течение шести месяцев до регистрации в программе. Запрос на восстановление миль Вы можете внести самостоятельно на сайте в разделе Восстановить мили, либо обратиться в сервисный центр программы по телефону 8 800 100-77-11 либо по адресу priority@s7.ru, приложив к обращению, в случае необходимости, документы, подтверждающие перелёт — копии авиабилета,маршрутной квитанции и посадочного талона."
25,s7_priority,"Я зарегистрировал в программе своего двухлетнего сына. Почему ему не зачислились мили за полеты, которые он совершил за 6 месяцев до регистрации?","По правилам программы, полеты, совершенные участником в возрасте до 2-х (Двух) лет, в программе не учитываются."
26,s7_priority,Учтены не все мои полёты. Возможно ли сейчас учесть полеты 2015 года?,"По правилам программы, восстановить мили за полёты рейсами S7, совершенные в качестве участника, можно только за предыдущие 12 месяцев, за полёты на рейсах авиакомпаний-партнёров — за 6 месяцев."
27,s7_priority,"Сайт не принимает запрос на восстановление миль за полет на рейсе партнера. Подскажите, в чем причина?","Если сайт не принимает ваш запрос на восстановление миль, необходимо обратиться в сервисный центр по электронному адресу priority@s7.ru или по телефону горячей линии 8 800 100-77-11."
28,s7_priority,Почему за один и тот же полет на S7 начисляется разное количество миль?,"Количество начисляемых миль зависит от расстояния между аэропортами вылета и прилёта, класса обслуживания, а также уровня тарифа, по которому приобретён ваш билет. 
Так, за полёт в экономическом классе обслуживания по тарифу Эконом Базовый (ECONOMY BASIC) на ваш счет будет начислено 50% от расстояния, за полет по тарифу Эконом Гибкий (ECONOMY FLEX) — 100%. 
За перелёт в бизнес-классе обслуживания  по тарифу Бизнес Базовый (BUSINESS BASIC) на ваш счет будет начислено 150% от расстояния, за полет по тарифу Бизнес Гибкий (BUSINESS FLEX) — 250%.
Также обращаем  Ваше внимание на то, что за полеты по билетам, приобретенным с 1 декабря 2015 года, участники программы за каждый полет на рейсе S7 Airlines по тарифу, участвующему в начислении миль, независимо от класса обслуживания и уровня тарифа, по которому приобретен билет, получают не менее 500 миль."
29,s7_priority,Почему не начисляются мили за полеты на рейсах партнера? Номер карты указываю всегда.,"Возможная причина может быть в том, что тариф, по которому приобретён ваш билет, не участвует в начислении миль. Проверить эту информацию вы можете здесь. Код бронирования указан на посадочном талоне или маршрутной квитанции вашего билета."
30,s7_priority,"Как я могу восстановить мили за полёты, которые не были учтены?","Восстановить мили за полеты, совершенные после регистрации в S7 Priority, Вы можете в личном кабинете на сайте www.s7.ru, в разделе Восстановить мили. Если на ваш счёт не были начислены мили за полёты на рейсах S7 в статусе участника программы S7 Priority, восстановить их можно в течение 12 месяцев с момента перелёта. Мили за рейсы авиакомпаний-партнеров можно восстановить в течение 6 месяцев после перелёта."
31,s7_priority,"Я много летаю на S7 и партнерах, но баланс моего счета «нулевой». В чем причина?","Для начисления миль необходимо всегда предъявлять карту участника S7 Priority при покупке билета либо регистрации на рейс. Также обязательным условием является полное совпадение в написании фамилии, имени и даты рождения в билете и вашем профайле.
Если на ваш счёт не были начислены мили за полёты на рейсах S7 в статусе участника программы S7 Priority, восстановить их можно в течение 12 месяцев с момента перелёта. Мили за рейсы авиакомпаний-партнеров можно восстановить в течение 6 месяцев после перелёта."
32,s7_priority,"Летел из Москвы в Рим через Мюнхен. Рейс S7 учтен, а перелет с а/к LH нет. В чём причина?","По условиям программы, мили могут быть начислены только за полёты на регулярных рейсах S7 либо авиакомпаний-партнёров S7 Priority. Перелёт Мюнхен — Рим выполняла а/к Lufthansa, которая является партнёром S7 Airlines по маршрутной сети, но в программе S7 Priority не участвует, соответственно, мили за этот участок пути не начисляются."
33,s7_priority,Mой полёт и мили за использование услуг партнёра S7 не учтены в программе? Что делать?,"Для зачисления миль может потребоваться до 45 дней с момента полёта или использования услуги нашего партнёра. Если вы не указывали номер счета участника S7 Priority при бронировании билета, регистрации на рейс или оформлении услуги партнёра, воспользуйтесь разделом Восстановить мили в Личном кабинете участника программы S7 Priority либо формой обратной связи в разделе Клиентская поддержка.
Если написание фамилии/имени в маршрутной квитанции и вашем профайле различаются, сообщите об этом в сервисный центр программы S7 Priority по электронному адресу priority@s7.ru и приложите к письму отсканированную копию билета и посадочного талона. Для восстановления миль за услуги наших партнёров сервисный центр может запросить копии подтверждающих документов. Рекомендуем сохранять чеки, подтверждающие оплату услуги, до момента начисления миль."
34,s7_priority,"Я являюсь участником нескольких программ лояльности альянса oneworld. Возможно ли для начисления миль указать один номер, а привилегии получить по другому?","Совершая перелет на рейсе S7 и будучи участником нескольких программ лояльности альянса oneworld, пассажир вправе выбрать одну карту для начисления миль, указав ее номер при бронировании билета либо регистрации на рейс, а для получения привилегий в аэропорту, согласно статусу в рамках альянса oneworld, предъявить другую."
35,s7_priority,Я покупаю билеты для своих близких. Будут ли мне начисляться мили?,"Если Вы оплачиваете билеты платежной картой, прикрепленной к вашему счету в S7 Priority, вы получите мили только за покупку. Обратите внимание, что мили за полёты пассажиров не будут начислены на ваш счёт. Согласно условиям программы, вы можете получить мили только за полёты, которые совершаете сами."
36,s7_priority,"В чём может быть причина того, что мили за расчёты платёжной картой S7 не были начислены?","Мили за расчёты платёжной банковской картой S7 Priority начисляются в течение первых 10 рабочих банковских дней месяца, следующего за расчетным. Таким образом, если вы рассчитывались картой в феврале, мили поступят на ваш счёт в марте.
Приветственные мили за активацию карты «Альфа-Банка» начисляются при условии, что в течение 3 месяцев с момента выпуска карты с её помощью вы расплачивались за товары или услуги, участвующие в начислении миль."
37,s7_priority,Поменял имя и перевыпустил банковскую карту - мили перестали начисляться. Почему?,"Причина в том, что персональные данные владельца счёта были изменены только в банке, а в программе S7 Priority остались прежними. Вам необходимо обратиться в сервисный центр программы S7 Priority для изменения данных в вашем профайле, а в будущем следует это делать сразу после того, как вы перевыпустили банковскую карту.
В любом случае мили за расчёты по карте будут начислены на ваш счёт, но только в следующем месяце."
38,s7_priority,"Начисление миль за покупки с помощью платежной карты S7 Priority составило только 70% от ожидаемого объема, в чем причина?","За разъяснениями по данному вопросу Вам необходимо обращаться в Банк-эмитент Вашей карты, так как S7 Priority производит начисление миль исходя из тех данных, которые получает от Банка."
39,s7_priority,"«Сгорят» ли мили, если я совершу полет в декабре, а мили будут начислены только в январе?","Для продления срока действия миль вам необходимо совершить в течение каледарного года один полёт на регулярном рейсе S7 или авиакомпаний альянса oneworld по тарифу, участвующему в начислении миль. Таким образом, условия для продления срока действия миль считаются вами выполненными. При регистрации на рейс сообщите номер счета либо предъявите карту участника S7 Priority. В течение недели после полёта проверьте мильный баланс вашего счёта в Личном кабинете.
Если мили не были начислены автоматически, обратитесь в Сервисный центр программы с просьбой об их восстановлении. Также рекомендуем сохранить посадочный талон до момента начисления миль на счёт. Помните, что мили, которые не были начислены/восстановлены до 31 января года, следующего за годом, в котором совершена транзакция, не могут быть учтены задним числом для целей пролонгации миль согласно п. 4.8.2. правил Программы."
40,s7_priority,"Меня уведомили о том, что мили могут «сгореть». Могу ли я сейчас оформить премию?","Мили в программе S7 Priority действительны до конца года, в котором был совершен полет или получена услуга, и в течение двух последующих календарных лет. Станьте активным участником нашей программы, и тогда срок действия миль будет продлён ещё на год.
Чтобы стать активным участником программы, нужно:

Совершить в течение календарного года (с 1 января по 31 декабря) не менее одного полета в качестве участника на регулярном рейсе S7 или авиакомпаний-партнёров по альянсу по тарифу, участвующему в начислении миль.
Накопить не менее 5 000 миль (не считая приветственных за активацию карты и миль, начисляемых в рамках акций и специальных предложений Партнера) за использование платёжной карты S7 Priority при оплате товаров или услуг.

Помните, что в программе засчитываются только полёты рейсами S7, авиакомпаний-партнёров альянса oneworld, по тарифам, участвующим в начислении миль, и учтённые в S7 Priority. Полёт не подтверждает ваш статус активного участника, если его тариф не участвует в начислении миль или этот полёт учтён в других программах лояльности.
Если Вы не выполнили условия для продления срока действия миль, Вы можете обратиться в Сервисный Центр Программы по телефону горячей линии 8 800 100-77-11 и воспользоваться услугой платного продления. Минимально возможная сумма миль для продления — 500 миль. Стоимость минимального пакета для продления миль составляет 250 р. (1 миля=0.50 р.). Операция по продлению миль не может быть отменена, денежные средства не могут быть возвращены."
41,s7_priority,"Правильно ли я понял, что мили, которые будет копить на свой счет мой пятилетний сын, не будут сгорать?","По правилам программы, мили, накопленные участником, не достигшим 12 (Двенадцати) лет, не подлежат сгоранию. По достижению ребенком 12 (Двенадцати) лет, к его счету будут применяться общие правила: все начисленные в Программе S7 Priority мили будут действительны в течение года, в котором совершен перелет или получена услуга, и следующие 2 (два) календарных года. В случае если Участник является Активным Участником в течение текущего года, Мили, срок действия которых заканчивается в конце текущего года, продлеваются на очередной календарный год."
42,s7_priority,Как использовать накопленные мили?,"За счёт накопленных миль вы можете получить премиальный билет на S7 Airlines и партнёров программы. Стоимость премиального билета на рейсы S7 — от 6 000 миль за билет в одну сторону, премиального повышения класса обслуживания с «Эконом» до «Бизнес» — от 6 500 миль (на стойке регистрации).
Стоимость премии на рейс авиакомпании-партнёра — от 7 500 миль (Список компаний — партнёров S7). Премиальный билет на рейсы авиакомпаний-партнёров можно оформить как в одну сторону, так и туда и обратно.
Кроме вас воспользоваться премиями могут и ваши близкие. В течение календарного года вы можете оформить не более 10 премий на третьих лиц и неограниченное количество — на себя. Подробнее о премиях— в разделе Тратить мили."
43,s7_priority,Как заказать премию: премиальный авиабилет или повышение класса?,"Для оформления премии на Вашем счете должно быть достаточное количество миль, в том числе мили за хотя бы 1 полет, совершенный в течение текущего года или года, предшествующего году, в котором оформляется Премия. Учитываются полеты, совершенные в качестве Участника на рейсах S7 по тарифам, участвующим в начислении Миль. Таким образом, если Вы заказываете премию в 2017 году, то необходимо, чтобы полет с S7 Airlines по тарифу, участвующему в наборе миль, был совершен Вами не ранее 2016 года.
Оформить премию возможно на s7.ru либо в Сервисном центре программы, отправив запрос на бронирование премии из личного кабинета, раздел Премии.
Если Вы отправляете запрос на создание бронирования, необходимо указать авиакомпанию, тип перевозки (в одну сторону или туда-обратно), маршрут, дату полета, номер рейса, класс обслуживания и тариф премиального билета, а также фамилии, имена и паспортные данные пассажиров.
Для запроса на повышение класса обслуживания воспользуйтесь разделом Личного кабинета Клиентская поддержка. Выберите тему сообщения «Премии». В тексте письма Вам необходимо указать номер счета, с которого будут списаны мили, а также номер билета, который необходимо переоформить.
Обращаем Ваше внимание, что участник может оформить премию на себя, а также на любое другое указанное им лицо. В течение каждого календарного года оформление Премии на другое лицо допускается не более 10 раз."
44,s7_priority,Нужно ли что-то доплачивать при получении премиального билета?,"Да, при оформлении билета необходимо оплатить таксы аэропорта и топливные сборы — наличными или банковской картой."
45,s7_priority,Нужна ли доплата при повышении класса обслуживания?,"Доплаты не требуется. Класс обслуживания будет повышен только за счёт накопленных миль. Для оформления вам необходимо отправить заявку из раздела Клиентская поддержка (тема сообщения — «Премии»), обязательно указав номер билета экономического класса."
46,s7_priority,"Если я совершаю премиальный полёт, будут ли мне начислены мили и учтён сегмент?","Мили, а также сегменты за полёты по премиальным билетам не начисляются. Однако  если вы совершили перелёт по билету с премиальным повышением в классе обслуживания (за счёт миль), на ваш счёт будут начислены мили в соответствии с первоначально оплаченным тарифом."
47,s7_priority,Возможно ли повысить класс обслуживания за счет накопленных миль?,"Вы можете повысить класс обслуживания за счет накопленных миль, обратившись в Сервисный центр программы не менее, чем за 24 часа до вылета рейса.
Информацию о стоимости повышения класса обслуживания, а также подробные условия предоставления  услуги Вы можете узнать здесь, либо обратившись по телефону горячей линии 8 800 100-77-11."
48,s7_priority,"У меня есть достаточное количество миль, почему мне отказывают в оформлении премий?","По правилам программы, участник имеет право оформить премию только в том случае, если на его счёте есть мили за хотя бы один полёт с S7 Airlines, совершенный в качестве участника по тарифу, участвующему в наборе миль, за текущий год или год, предшествующий заказу премии. В противном случае премия не может быть оформлена. Если вы уже совершали полёты за указанный период, пожалуйста, воспользуйтесь формой Восстановить мили в Личном кабинете на сайте s7.ru или обратитесь к специалистам сервисного центра по телефону 8 800 100-77-11. Помните, что мили за полеты на рейсах S7 возможно восстановить не позднее 12 месяцев с даты полета.
Также помните, что количество премий по премиальному тарифу «Оптимум» на рейсе ограничено, тогда как места по тарифу «Приоритет» всегда доступны для оформления при наличии свободных мест на рейсе."
